piid,round,readings
0,0,0.157598,
0,1,0.153539,
0,2,0.147112,
0,3,0.154329,
0,4,0.150265,
0,5,0.146706,
0,6,0.152814,
0,7,0.162767,
0,8,0.154075,
0,9,0.156622,
0,10,0.156003,
0,11,0.158549,
0,12,0.15466,
0,13,0.149172,
0,14,0.151357,
0,15,0.147073,
0,16,0.145474,
0,17,0.140971,
0,18,0.140026,
0,19,0.140927,
0,20,0.154959,
0,21,0.140068,
0,22,0.146265,
0,23,0.145256,
0,24,0.146335,
0,25,0.144515,
0,26,0.144353,
0,27,0.143608,
0,28,0.150267,
0,29,0.154053,
0,30,0.149958,
0,31,0.152928,
0,32,0.16688,
0,33,0.161044,
0,34,0.155985,
0,35,0.16299,
0,36,0.158102,
0,37,0.149247,
0,38,0.162778,
0,39,0.143952,
0,40,0.147075,
0,41,0.155918,
0,42,0.145721,
0,43,0.149062,
0,44,0.152104,
0,45,0.156972,
0,46,0.157776,
0,47,0.152352,
0,48,0.145892,
0,49,0.145972,
0,50,0.138046,
0,51,0.147204,
0,52,0.14613,
0,53,0.152174,
0,54,0.152026,
0,55,0.150966,
0,56,0.150119,
0,57,0.146006,
0,58,0.147555,
0,59,0.146382,
0,60,0.15269,
0,61,0.165366,
0,62,0.148135,
0,63,0.152631,
0,64,0.156856,
0,65,0.163767,
0,66,0.158461,
0,67,0.162271,
0,68,0.161688,
0,69,0.162375,
0,70,0.154444,
0,71,0.15432,
0,72,0.161089,
0,73,0.151892,
0,74,0.155076,
0,75,0.157119,
0,76,0.152496,
0,77,0.151614,
0,78,0.159461,
0,79,0.143933,
0,80,0.153055,
0,81,0.153289,
0,82,0.147488,
0,83,0.155846,
0,84,0.152308,
0,85,0.149205,
0,86,0.141481,
0,87,0.147424,
0,88,0.146526,
0,89,0.142723,
0,90,0.139378,
0,91,0.139147,
0,92,0.223945,
